"state","year","type","tax_rate"
"Alabama","2013","liquor",0
"Alaska","2013","liquor",12.8
"Arizona","2013","liquor",3
"Arkansas","2013","liquor",2.5
"California","2013","liquor",3.3
"Colorado","2013","liquor",2.28
"Connecticut","2013","liquor",5.4
"Delaware","2013","liquor",3.75
"Florida","2013","liquor",6.5
"Georgia","2013","liquor",3.79
"Hawaii","2013","liquor",5.98
"Idaho","2013","liquor",0
"Illinois","2013","liquor",8.55
"Indiana","2013","liquor",2.68
"Iowa","2013","liquor",0
"Kansas","2013","liquor",2.5
"Kentucky","2013","liquor",1.92
"Louisiana","2013","liquor",2.5
"Maine","2013","liquor",0
"Maryland","2013","liquor",1.5
"Massachusetts","2013","liquor",4.05
"Michigan","2013","liquor",0
"Minnesota","2013","liquor",5.03
"Mississippi","2013","liquor",0
"Missouri","2013","liquor",2
"Montana","2013","liquor",0
"Nebraska","2013","liquor",3.75
"Nevada","2013","liquor",3.6
"New Hampshire","2013","liquor",0
"New Jersey","2013","liquor",5.5
"New Mexico","2013","liquor",6.06
"New York","2013","liquor",6.44
"North Carolina","2013","liquor",0
"North Dakota","2013","liquor",2.5
"Ohio","2013","liquor",0
"Oklahoma","2013","liquor",5.56
"Oregon","2013","liquor",0
"Pennsylvania","2013","liquor",0
"Rhode Island","2013","liquor",3.75
"South Carolina","2013","liquor",2.72
"South Dakota","2013","liquor",3.93
"Tennessee","2013","liquor",4.4
"Texas","2013","liquor",2.4
"Utah","2013","liquor",0
"Vermont","2013","liquor",0
"Virginia","2013","liquor",0
"Washington","2013","liquor",0
"West Virginia","2013","liquor",0
"Wisconsin","2013","liquor",3.25
"Wyoming","2013","liquor",0
"Dist. of Columbia","2013","liquor",1.5
"U.S. Median","2013","liquor",3.75
"Alabama","2014","liquor",0
"Alaska","2014","liquor",12.8
"Arizona","2014","liquor",3
"Arkansas","2014","liquor",2.5
"California","2014","liquor",3.3
"Colorado","2014","liquor",2.28
"Connecticut","2014","liquor",5.4
"Delaware","2014","liquor",3.75
"Florida","2014","liquor",6.5
"Georgia","2014","liquor",3.79
"Hawaii","2014","liquor",5.98
"Idaho","2014","liquor",0
"Illinois","2014","liquor",8.55
"Indiana","2014","liquor",2.68
"Iowa","2014","liquor",0
"Kansas","2014","liquor",2.5
"Kentucky","2014","liquor",1.92
"Louisiana","2014","liquor",2.5
"Maine","2014","liquor",0
"Maryland","2014","liquor",1.5
"Massachusetts","2014","liquor",4.05
"Michigan","2014","liquor",0
"Minnesota","2014","liquor",5.03
"Mississippi","2014","liquor",0
"Missouri","2014","liquor",2
"Montana","2014","liquor",0
"Nebraska","2014","liquor",3.75
"Nevada","2014","liquor",3.6
"New Hampshire","2014","liquor",0
"New Jersey","2014","liquor",5.5
"New Mexico","2014","liquor",6.06
"New York","2014","liquor",6.44
"North Carolina","2014","liquor",0
"North Dakota","2014","liquor",2.5
"Ohio","2014","liquor",0
"Oklahoma","2014","liquor",5.56
"Oregon","2014","liquor",0
"Pennsylvania","2014","liquor",0
"Rhode Island","2014","liquor",5.4
"South Carolina","2014","liquor",2.72
"South Dakota","2014","liquor",3.93
"Tennessee","2014","liquor",4.4
"Texas","2014","liquor",2.4
"Utah","2014","liquor",0
"Vermont","2014","liquor",0
"Virginia","2014","liquor",0
"Washington","2014","liquor",14.27
"West Virginia","2014","liquor",0
"Wisconsin","2014","liquor",3.25
"Wyoming","2014","liquor",0
"Dist. of Columbia","2014","liquor",1.5
"U.S. Median","2014","liquor",3.75
"Alabama","2015","liquor",0
"Alaska","2015","liquor",12.8
"Arizona","2015","liquor",3
"Arkansas","2015","liquor",2.5
"California","2015","liquor",3.3
"Colorado","2015","liquor",2.28
"Connecticut","2015","liquor",5.4
"Delaware","2015","liquor",3.75
"Florida","2015","liquor",6.5
"Georgia","2015","liquor",3.79
"Hawaii","2015","liquor",5.98
"Idaho","2015","liquor",0
"Illinois","2015","liquor",8.55
"Indiana","2015","liquor",2.68
"Iowa","2015","liquor",0
"Kansas","2015","liquor",2.5
"Kentucky","2015","liquor",1.92
"Louisiana","2015","liquor",2.5
"Maine","2015","liquor",0
"Maryland","2015","liquor",1.5
"Massachusetts","2015","liquor",4.05
"Michigan","2015","liquor",0
"Minnesota","2015","liquor",5.03
"Mississippi","2015","liquor",0
"Missouri","2015","liquor",2
"Montana","2015","liquor",0
"Nebraska","2015","liquor",3.75
"Nevada","2015","liquor",3.6
"New Hampshire","2015","liquor",0
"New Jersey","2015","liquor",5.5
"New Mexico","2015","liquor",6.06
"New York","2015","liquor",6.44
"North Carolina","2015","liquor",0
"North Dakota","2015","liquor",2.5
"Ohio","2015","liquor",0
"Oklahoma","2015","liquor",5.56
"Oregon","2015","liquor",0
"Pennsylvania","2015","liquor",0
"Rhode Island [3]","2015","liquor",5.4
"South Carolina","2015","liquor",2.72
"South Dakota","2015","liquor",3.93
"Tennessee","2015","liquor",4.4
"Texas","2015","liquor",2.4
"Utah","2015","liquor",0
"Vermont","2015","liquor",0
"Virginia","2015","liquor",0
"Washington","2015","liquor",14.27
"West Virginia","2015","liquor",0
"Wisconsin","2015","liquor",3.25
"Wyoming","2015","liquor",0
"Dist. of Columbia","2015","liquor",1.5
"U.S. Median","2015","liquor",3.75
"Alabama","2016","liquor",0
"Alaska","2016","liquor",12.8
"Arizona","2016","liquor",3
"Arkansas","2016","liquor",2.5
"California","2016","liquor",3.3
"Colorado","2016","liquor",2.28109
"Connecticut","2016","liquor",5.4
"Delaware","2016","liquor",3.75
"Florida","2016","liquor",6.5
"Georgia","2016","liquor",3.78541
"Hawaii","2016","liquor",5.98
"Idaho","2016","liquor",0
"Illinois","2016","liquor",8.55
"Indiana","2016","liquor",2.68
"Iowa","2016","liquor",0
"Kansas","2016","liquor",2.5
"Kentucky","2016","liquor",1.92
"Louisiana","2016","liquor",2.49837
"Maine","2016","liquor",0
"Maryland","2016","liquor",1.5
"Massachusetts","2016","liquor",4.05
"Michigan","2016","liquor",0
"Minnesota","2016","liquor",5.0346
"Mississippi","2016","liquor",0
"Missouri","2016","liquor",2
"Montana","2016","liquor",0
"Nebraska","2016","liquor",3.75
"Nevada","2016","liquor",3.6
