"State","Number"
"Alabama",0.0428894998084444
"Alaska",0.067777625179031
"Arizona",0.0546272355307513
"Arkansas",0.0512074210836141
"California",0.0663256644050941
"Colorado",0.0653857702478515
"Connecticut",0.0700046822227155
"Delaware",0.0637520047017103
"District of Columbia",0.087886543852695
"Florida",0.0571879842561299
"Georgia",0.0459573671786068
"Hawaii",0.0496071072811275
"Idaho",0.0571133712317569
"Illinois",0.0579910311552802
"Indiana",0.0554446173415286
"Iowa",0.0665258467376716
"Kansas",0.0519896671666716
"Kentucky",0.0552653082010245
"Louisiana",0.066600103563161
"Maine",0.0581285378827372
"Maryland",0.0616184445677286
"Massachusetts",0.0780782701667603
"Michigan",0.0595941026444979
"Minnesota",0.0594986767986198
"Mississippi",0.0467489798236646
"Missouri",0.0596128074430487
"Montana",0.0743144341169039
"Nebraska",0.0608712824852915
"Nevada",0.0542155663384293
"New Hampshire",0.0620130930927596
"New Jersey",0.0498016365244633
"New Mexico",0.0716462916035219
"New York",0.062921706252886
"North Carolina",0.0475182398637339
"North Dakota",0.0720074476274403
"Ohio",0.0628720053147215
"Oklahoma",0.0558665385193092
"Oregon",0.0726130609974327
"Pennsylvania",0.0579864291116641
"Rhode Island",0.0706317777076692
"South Carolina",0.0585814351321088
"South Dakota",0.0745420607380881
"Tennessee",0.051948971487326
"Texas",0.0520423746137104
"Utah",0.0444788125639672
"Vermont",0.0710434707103558
"Virginia",0.0581212407564654
"Washington",0.0583459654684747
"West Virginia",0.0456781794995649
"Wisconsin",0.0742279301144038
"Wyoming",0.0666311300639659
