"State","Number"
"Alabama",115000
"Alaska",30000
"Arizona",206000
"Arkansas",86000
"California",1549000
"Colorado",213000
"Connecticut",155000
"Delaware",37000
"District of Columbia",36000
"Florida",753000
"Georgia",265000
"Hawaii",42000
"Idaho",53000
"Illinois",428000
"Indiana",198000
"Iowa",118000
"Kansas",76000
"Kentucky",143000
"Louisiana",189000
"Maine",49000
"Maryland",219000
"Massachusetts",324000
"Michigan",345000
"Minnesota",184000
"Mississippi",80000
"Missouri",207000
"Montana",45000
"Nebraska",64000
"Nevada",92000
"New Hampshire",50000
"New Jersey",249000
"New Mexico",90000
"New York",741000
"North Carolina",281000
"North Dakota",29000
"Ohio",430000
"Oklahoma",126000
"Oregon",186000
"Pennsylvania",428000
"Rhode Island",45000
"South Carolina",172000
"South Dakota",37000
"Tennessee",198000
"Texas",783000
"Utah",62000
"Vermont",24000
"Virginia",286000
"Washington",253000
"West Virginia",47000
"Wisconsin",248000
"Wyoming",22000
