measure,location,sex,age,cause,metric,year,val,upper,lower
Prevalence,Iowa,Both,All Ages,Drug use disorders,Percent,1990,0.0157511542205,0.0171151999062,0.014490090955
Prevalence,Iowa,Both,All Ages,Opioid use disorders,Percent,1990,0.00478684297952,0.00544252373332,0.00420864168288
Prevalence,Iowa,Both,All Ages,Cocaine use disorders,Percent,1990,0.0030257230352,0.0034308627296,0.00267988300309
Prevalence,Iowa,Both,All Ages,Amphetamine use disorders,Percent,1990,0.00195030614977,0.00240322082401,0.00160426196961
Prevalence,Iowa,Both,All Ages,Cannabis use disorders,Percent,1990,0.00529568105413,0.00646245752936,0.00434366942718
Prevalence,Iowa,Both,All Ages,Other drug use disorders,Percent,1990,0.000916025469233,0.0010190480092,0.00082084735118
Prevalence,Kansas,Both,All Ages,Drug use disorders,Percent,1990,0.0193497819662,0.0208044614765,0.018009733795
Prevalence,Kansas,Both,All Ages,Opioid use disorders,Percent,1990,0.00724049487384,0.00799356025301,0.00651371419551
Prevalence,Kansas,Both,All Ages,Cocaine use disorders,Percent,1990,0.00375465847122,0.0042081013162,0.00336181434941
Prevalence,Kansas,Both,All Ages,Amphetamine use disorders,Percent,1990,0.00115340366051,0.00155284390629,0.000834708330142
Prevalence,Kansas,Both,All Ages,Cannabis use disorders,Percent,1990,0.00650101267738,0.00772978688158,0.0053936786851
Prevalence,Kansas,Both,All Ages,Other drug use disorders,Percent,1990,0.00100493800984,0.00111590169365,0.000906843824553
Prevalence,Ohio,Both,All Ages,Drug use disorders,Percent,1990,0.0364090594047,0.0381318324359,0.0349183059606
Prevalence,Ohio,Both,All Ages,Opioid use disorders,Percent,1990,0.0189240138292,0.0198293542518,0.0180212890332
Prevalence,Ohio,Both,All Ages,Cocaine use disorders,Percent,1990,0.00607886369437,0.00655270566156,0.00564261420643
Prevalence,Ohio,Both,All Ages,Amphetamine use disorders,Percent,1990,0.00181518078029,0.00226157986635,0.00147415033288
Prevalence,Ohio,Both,All Ages,Cannabis use disorders,Percent,1990,0.00940158893908,0.0106390133339,0.00829689513188
Prevalence,Ohio,Both,All Ages,Other drug use disorders,Percent,1990,0.00112618484368,0.00124978834054,0.00101941048798
Prevalence,Alabama,Both,All Ages,Other drug use disorders,Percent,1990,0.00100957954134,0.00111556952341,0.000912807148174
Prevalence,Kentucky,Both,All Ages,Drug use disorders,Percent,1990,0.0410125219062,0.0427254874116,0.039411195398
Prevalence,Kentucky,Both,All Ages,Opioid use disorders,Percent,1990,0.0289713097309,0.0300746798119,0.0278788176271
Prevalence,Kentucky,Both,All Ages,Cocaine use disorders,Percent,1990,0.0028818721862,0.00329902784229,0.00252584603434
Prevalence,Kentucky,Both,All Ages,Amphetamine use disorders,Percent,1990,0.00211003568065,0.00260698423533,0.00173483500785
Prevalence,Kentucky,Both,All Ages,Cannabis use disorders,Percent,1990,0.00704858880814,0.00829052978487,0.00594500716928
Prevalence,Kentucky,Both,All Ages,Other drug use disorders,Percent,1990,0.00114016719545,0.00125210829501,0.00103148564305
Prevalence,Louisiana,Both,All Ages,Drug use disorders,Percent,1990,0.0358800715225,0.037529813501,0.0342963921225
Prevalence,Louisiana,Both,All Ages,Opioid use disorders,Percent,1990,0.0179249982809,0.0188572525855,0.0169438320609
Prevalence,Louisiana,Both,All Ages,Cocaine use disorders,Percent,1990,0.00564733281338,0.00610361889038,0.00523009153607
Prevalence,Louisiana,Both,All Ages,Amphetamine use disorders,Percent,1990,0.00430198491946,0.0047681094208,0.00387625004656
Prevalence,Louisiana,Both,All Ages,Cannabis use disorders,Percent,1990,0.00783859564376,0.00910776845038,0.00669610468801
Prevalence,Louisiana,Both,All Ages,Other drug use disorders,Percent,1990,0.00110724165997,0.0012181047059,0.00100805982943
Prevalence,Maine,Both,All Ages,Cannabis use disorders,Percent,1990,0.00889072820845,0.0100847465391,0.00774734325317
Prevalence,Maine,Both,All Ages,Other drug use disorders,Percent,1990,0.00109697139763,0.00121184431353,0.000985847978422
Prevalence,Pennsylvania,Both,All Ages,Amphetamine use disorders,Percent,1991,0.00203866330248,0.00244641450602,0.00169771521469
Prevalence,Pennsylvania,Both,All Ages,Cannabis use disorders,Percent,1991,0.00727786538731,0.00823836544767,0.0064145618811
Prevalence,Pennsylvania,Both,All Ages,Other drug use disorders,Percent,1991,0.00124701931043,0.00138774656588,0.00113830581007
Prevalence,United States,Both,All Ages,Drug use disorders,Percent,1990,0.0314542572619,0.0328986792893,0.0301681715432
Prevalence,United States,Both,All Ages,Opioid use disorders,Percent,1990,0.0133466677903,0.0140358567421,0.0126636557441
Prevalence,United States,Both,All Ages,Cocaine use disorders,Percent,1990,0.00588905199006,0.00630907946276,0.00550835137953
Prevalence,United States,Both,All Ages,Amphetamine use disorders,Percent,1990,0.0026081132642,0.00303344723951,0.00226178185484
Prevalence,United States,Both,All Ages,Cannabis use disorders,Percent,1990,0.00920694750215,0.0103972622599,0.00813389011039
Prevalence,United States,Both,All Ages,Other drug use disorders,Percent,1990,0.0011457295688,0.00124973570982,0.00104422857733
