"Table 2. Marijuana Use in the Past Year, by Age Group and State: Estimated Numbers (in Thousands), Annual Averages Based on 2015 and 2016 NSDUHs",,,,,,,,,,,,,,,,
"NOTE: State and census region estimates, along with the 95 percent Bayesian confidence (credible) intervals, are based on a survey-weighted hierarchical Bayes estimation approach and generated by Markov Chain Monte Carlo techniques. For the ""Total U.S."" row, design-based (direct) estimates and corresponding 95 percent confidence intervals are given.",,,,,,,,,,,,,,,,
"NOTE: The column labeled ""Order"" can be used to sort the data to the original sort order.",,,,,,,,,,,,,,,,
NOTE: Estimated numbers appearing as 0 in this table mean that the estimate is greater than 0 but less than 500 (because estimated numbers are shown in thousands).,,,,,,,,,,,,,,,,
"Source: SAMHSA, Center for Behavioral Health Statistics and Quality, National Survey on Drug Use and Health, 2015 and 2016.",,,,,,,,,,,,,,,,
Order,State,"12 or Older Estimate","12 or Older 95% CI (Lower)","12 or Older 95% CI (Upper)","12-17 Estimate","12-17 95% CI (Lower)","12-17 95% CI (Upper)","18-25 Estimate","18-25 95% CI (Lower)","18-25 95% CI (Upper)","26 or Older Estimate","26 or Older 95% CI (Lower)","26 or Older 95% CI (Upper)","18 or Older Estimate","18 or Older 95% CI (Lower)","18 or Older 95% CI (Upper)"
1,Total U.S.,"36,806","36,047","37,580","3,060","2,951","3,171","11,323","11,077","11,573","22,424","21,784","23,079","33,747","32,998","34,510"
2,Northeast,"7,094","6,802","7,400",509,475,545,"2,279","2,192","2,366","4,306","4,040","4,588","6,585","6,296","6,886"
3,Midwest,"7,405","7,115","7,703",676,638,717,"2,342","2,265","2,421","4,386","4,122","4,665","6,729","6,443","7,023"
4,South,"11,860","11,417","12,317","1,070","1,014","1,128","3,824","3,706","3,944","6,967","6,559","7,397","10,791","10,354","11,243"
5,West,"10,447","10,040","10,867",804,753,859,"2,878","2,769","2,990","6,764","6,388","7,158","9,642","9,240","10,059"
6,Alabama,386,335,444,38,31,47,135,118,154,212,171,262,348,299,404
7,Alaska,134,122,147,11,9,13,34,30,37,89,78,102,123,111,136
8,Arizona,696,610,792,65,54,78,214,187,243,417,345,502,631,548,725
9,Arkansas,274,239,314,25,21,31,83,73,95,166,136,200,249,215,288
10,California,"5,296","4,998","5,609",402,362,447,"1,495","1,409","1,583","3,399","3,128","3,690","4,894","4,600","5,203"
11,Colorado,"1,057",955,"1,165",68,57,81,284,259,309,705,613,806,988,889,"1,095"
12,Connecticut,461,408,519,39,33,47,169,152,187,252,208,305,421,370,479
13,Delaware,105,92,120,10,8,12,35,31,39,61,50,73,95,83,110
14,District of Columbia,143,130,156,4,3,5,48,44,52,91,80,102,138,126,151
15,Florida,"2,275","2,112","2,449",179,159,201,664,622,707,"1,432","1,283","1,597","2,096","1,937","2,267"
16,Georgia,"1,048",944,"1,161",93,79,110,338,306,372,617,529,718,955,855,"1,065"
17,Hawaii,151,132,173,13,11,16,38,34,43,100,83,120,138,120,159
18,Idaho,158,139,180,17,14,21,44,39,50,97,80,116,141,123,162
19,Illinois,"1,320","1,211","1,437",121,105,137,447,412,484,753,658,859,"1,199","1,092","1,315"
20,Indiana,733,651,824,73,61,87,226,200,253,435,365,515,661,581,749
21,Iowa,254,220,293,25,21,31,96,83,109,133,106,165,228,195,266
22,Kansas,265,231,302,30,25,35,88,77,100,147,120,179,235,203,272
23,Kentucky,470,414,533,42,35,50,139,122,156,290,242,346,428,374,490
24,Louisiana,429,376,489,37,31,46,142,125,161,250,207,300,392,341,449
25,Maine,228,204,255,15,13,17,52,47,58,161,139,186,213,189,240
26,Maryland,779,697,868,63,53,75,259,235,284,457,387,536,716,637,803
