"Table 5. First Use of Marijuana, by Age Group and State: Average Annual Number of Marijuana Initiates (Expressed as Numbers in Thousands of the At-Risk Population), Based on 2015 and 2016 NSDUHs",,,,,,,,,,,,,,,,
"NOTE: First use of marijuana (or the average annual number of marijuana initiates) = X1 ÷ 2, where X1 is the number of marijuana initiates in the past 24 months. For details, see Section B of the “2015-2016 NSDUH: Guide to State Tables and Summary of Small Area Estimation Methodology” at https://www.samhsa.gov/data/.",,,,,,,,,,,,,,,,
"NOTE: The state and census region Bayesian confidence (credible) intervals presented here use a simultaneous solution for the First Use of Marijuana and Never Used Marijuana outcomes, which had age group-specific random effects that were allowed to be correlated across the two outcomes. The associated Markov Chain Monte Carlo chains were used to calculate the posterior variance. For the ""Total U.S."" row, design-based (direct) estimates and corresponding 95 percent confidence intervals are given.",,,,,,,,,,,,,,,,
"NOTE: The column labeled ""Order"" can be used to sort the data to the original sort order.",,,,,,,,,,,,,,,,
NOTE: Estimated numbers appearing as 0 in this table mean that the estimate is greater than 0 but less than 500 (because estimated numbers are shown in thousands).,,,,,,,,,,,,,,,,
"Source: SAMHSA, Center for Behavioral Health Statistics and Quality, National Survey on Drug Use and Health, 2015 and 2016.",,,,,,,,,,,,,,,,
Order,State,"12 or Older Estimate","12 or Older 95% CI (Lower)","12 or Older 95% CI (Upper)","12-17 Estimate","12-17 95% CI (Lower)","12-17 95% CI (Upper)","18-25 Estimate","18-25 95% CI (Lower)","18-25 95% CI (Upper)","26 or Older Estimate","26 or Older 95% CI (Lower)","26 or Older 95% CI (Upper)","18 or Older Estimate","18 or Older 95% CI (Lower)","18 or Older 95% CI (Upper)"
1,Total U.S.,"3,002","2,894","3,113","1,169","1,122","1,219","1,392","1,322","1,466",440,387,502,"1,833","1,737","1,933"
2,Northeast,543,507,581,197,182,213,261,239,285,85,68,105,346,316,379
3,Midwest,648,611,688,251,236,268,311,288,336,86,70,105,397,366,431
4,South,"1,037",978,"1,099",426,402,452,479,445,516,131,107,160,610,562,662
5,West,774,723,830,295,273,319,340,310,373,139,113,170,479,436,527
6,Alabama,41,35,48,15,12,19,21,16,26,5,3,8,26,21,32
7,Alaska,8,7,9,3,3,4,3,3,4,1,1,2,5,4,6
8,Arizona,64,55,75,25,21,30,27,22,34,12,8,18,39,32,48
9,Arkansas,25,21,29,10,8,12,12,10,15,3,2,5,15,12,19
10,California,385,349,425,150,133,169,169,147,194,66,49,90,235,205,269
11,Colorado,77,65,92,26,21,32,38,30,48,13,8,22,51,41,65
12,Connecticut,36,31,42,14,11,16,17,13,21,6,4,9,22,18,28
13,Delaware,8,7,10,4,3,4,4,3,5,1,1,2,5,4,6
14,District of Columbia,8,7,10,2,1,2,5,4,6,2,1,3,6,5,8
15,Florida,171,153,190,70,61,79,75,65,88,26,19,36,101,87,118
16,Georgia,91,79,105,36,30,43,43,36,53,12,8,17,55,46,66
17,Hawaii,12,10,14,5,4,6,5,4,6,2,1,3,7,6,9
18,Idaho,15,13,17,6,5,7,7,5,8,2,1,3,9,7,11
19,Illinois,114,101,129,45,39,52,56,47,66,14,9,20,69,58,82
20,Indiana,66,56,77,26,21,31,31,24,39,9,6,14,40,32,49
21,Iowa,30,26,35,11,9,13,16,13,20,4,2,6,19,16,24
22,Kansas,28,24,33,11,9,13,12,10,16,5,3,7,17,14,22
23,Kentucky,39,33,46,16,13,19,18,15,23,5,3,8,23,18,29
24,Louisiana,39,33,45,16,13,19,18,14,23,5,3,7,23,18,28
25,Maine,12,10,14,5,4,6,5,4,6,2,1,3,7,5,9
26,Maryland,57,49,67,23,19,27,26,21,32,9,6,13,35,28,42
27,Massachusetts,78,66,91,26,22,32,36,29,45,15,10,22,51,42,63
28,Michigan,98,87,111,39,34,44,44,37,52,16,11,23,60,50,71
