"Table 8. Perceptions of Great Risk from Using Cocaine Once a Month, by Age Group and State: Estimated Numbers (in Thousands), Annual Averages Based on 2015 and 2016 NSDUHs",,,,,,,,,,,,,,,,
"NOTE: State and census region estimates, along with the 95 percent Bayesian confidence (credible) intervals, are based on a survey-weighted hierarchical Bayes estimation approach and generated by Markov Chain Monte Carlo techniques. For the ""Total U.S."" row, design-based (direct) estimates and corresponding 95 percent confidence intervals are given.",,,,,,,,,,,,,,,,
"NOTE: The column labeled ""Order"" can be used to sort the data to the original sort order.",,,,,,,,,,,,,,,,
NOTE: Estimated numbers appearing as 0 in this table mean that the estimate is greater than 0 but less than 500 (because estimated numbers are shown in thousands).,,,,,,,,,,,,,,,,
"Source: SAMHSA, Center for Behavioral Health Statistics and Quality, National Survey on Drug Use and Health, 2015 and 2016.",,,,,,,,,,,,,,,,
Order,State,"12 or Older Estimate","12 or Older 95% CI (Lower)","12 or Older 95% CI (Upper)","12-17 Estimate","12-17 95% CI (Lower)","12-17 95% CI (Upper)","18-25 Estimate","18-25 95% CI (Lower)","18-25 95% CI (Upper)","26 or Older Estimate","26 or Older 95% CI (Lower)","26 or Older 95% CI (Upper)","18 or Older Estimate","18 or Older 95% CI (Lower)","18 or Older 95% CI (Upper)"
1,Total U.S.,"193,040","192,074","194,047","14,076","13,902","14,249","22,606","22,357","22,851","156,358","155,423","157,281","178,963","177,973","179,906"
2,Northeast,"33,040","32,659","33,422","2,319","2,266","2,372","3,757","3,670","3,843","26,963","26,598","27,321","30,720","30,338","31,089"
3,Midwest,"40,926","40,578","41,280","2,968","2,907","3,030","4,800","4,713","4,886","33,157","32,820","33,488","37,958","37,608","38,294"
4,South,"75,774","75,256","76,304","5,551","5,452","5,649","8,859","8,723","8,992","61,364","60,871","61,848","70,223","69,702","70,721"
5,West,"43,301","42,820","43,787","3,238","3,157","3,319","5,190","5,074","5,303","34,873","34,416","35,322","40,063","39,584","40,526"
6,Alabama,"3,186","3,104","3,264",227,213,241,383,365,400,"2,576","2,503","2,643","2,959","2,879","3,032"
7,Alaska,391,376,405,32,29,34,50,47,53,309,296,322,359,345,372
8,Arizona,"3,977","3,842","4,108",305,284,325,474,445,502,"3,198","3,074","3,316","3,673","3,540","3,798"
9,Arkansas,"1,908","1,856","1,957",141,132,150,236,225,246,"1,531","1,483","1,575","1,767","1,716","1,814"
10,California,"22,481","22,095","22,865","1,662","1,596","1,727","2,747","2,655","2,836","18,072","17,708","18,425","20,819","20,436","21,189"
11,Colorado,"3,004","2,890","3,116",224,208,239,340,316,364,"2,441","2,336","2,540","2,781","2,669","2,888"
12,Connecticut,"2,101","2,026","2,174",154,143,165,232,217,247,"1,715","1,645","1,781","1,947","1,873","2,017"
13,Delaware,573,554,592,37,35,40,64,61,68,472,453,489,536,517,554
14,District of Columbia,354,339,369,17,16,18,52,48,56,285,271,299,337,322,352
15,Florida,"13,128","12,893","13,355",834,802,865,"1,359","1,315","1,401","10,935","10,708","11,151","12,294","12,059","12,515"
16,Georgia,"6,404","6,258","6,544",510,483,537,797,765,827,"5,096","4,963","5,221","5,893","5,751","6,027"
17,Hawaii,790,761,819,54,50,57,87,82,92,649,622,676,737,708,764
18,Idaho,963,931,993,82,77,88,114,107,120,766,737,794,880,849,909
19,Illinois,"7,716","7,555","7,874",560,533,586,882,845,917,"6,275","6,124","6,419","7,156","6,996","7,309"
20,Indiana,"4,011","3,889","4,128",305,285,325,497,470,522,"3,209","3,096","3,313","3,706","3,588","3,816"
21,Iowa,"1,862","1,806","1,917",139,129,148,228,214,241,"1,496","1,444","1,544","1,723","1,668","1,776"
22,Kansas,"1,731","1,680","1,780",134,126,143,226,214,238,"1,370","1,325","1,412","1,596","1,547","1,643"
23,Kentucky,"2,753","2,674","2,829",200,187,212,318,300,335,"2,236","2,164","2,303","2,554","2,476","2,626"
24,Louisiana,"2,874","2,796","2,950",209,195,222,344,325,361,"2,322","2,251","2,387","2,665","2,589","2,737"
25,Maine,818,790,844,52,48,55,77,72,82,689,663,713,766,739,792
26,Maryland,"3,552","3,435","3,664",263,245,280,394,371,417,"2,895","2,787","2,996","3,289","3,175","3,396"
27,Massachusetts,"3,777","3,631","3,920",273,255,292,454,420,487,"3,050","2,915","3,178","3,504","3,360","3,642"
28,Michigan,"6,121","5,995","6,243",417,396,437,712,684,739,"4,992","4,875","5,103","5,704","5,581","5,821"
29,Minnesota,"3,071","2,960","3,178",225,209,241,339,316,361,"2,507","2,404","2,605","2,846","2,737","2,949"
30,Mississippi,"1,953","1,906","1,998",149,139,158,249,238,260,"1,555","1,513","1,593","1,805","1,759","1,846"
31,Missouri,"3,738","3,624","3,846",269,251,287,436,412,458,"3,033","2,928","3,130","3,468","3,357","3,572"
32,Montana,596,575,616,42,39,44,65,61,69,489,470,508,554,534,574
33,Nebraska,"1,122","1,086","1,156",82,76,88,136,127,144,904,871,934,"1,039","1,004","1,072"
34,Nevada,"1,687","1,625","1,748",115,106,124,185,173,195,"1,388","1,330","1,442","1,573","1,511","1,630"
35,New Hampshire,770,742,798,53,49,56,80,74,86,638,612,663,718,690,744
36,New Jersey,"5,404","5,249","5,553",406,383,428,554,523,583,"4,445","4,300","4,581","4,998","4,846","5,142"
37,New Mexico,"1,187","1,145","1,227",88,81,94,141,132,149,959,920,995,"1,099","1,058","1,138"
