"Table 10. Perceptions of Great Risk from Trying Heroin Once or Twice, by Age Group and State: Estimated Numbers (in Thousands), Annual Averages Based on 2015 and 2016 NSDUHs",,,,,,,,,,,,,,,,
"NOTE: State and census region estimates, along with the 95 percent Bayesian confidence (credible) intervals, are based on a survey-weighted hierarchical Bayes estimation approach and generated by Markov Chain Monte Carlo techniques. For the ""Total U.S."" row, design-based (direct) estimates and corresponding 95 percent confidence intervals are given.",,,,,,,,,,,,,,,,
"NOTE: The column labeled ""Order"" can be used to sort the data to the original sort order.",,,,,,,,,,,,,,,,
NOTE: Estimated numbers appearing as 0 in this table mean that the estimate is greater than 0 but less than 500 (because estimated numbers are shown in thousands).,,,,,,,,,,,,,,,,
"Source: SAMHSA, Center for Behavioral Health Statistics and Quality, National Survey on Drug Use and Health, 2015 and 2016.",,,,,,,,,,,,,,,,
Order,State,"12 or Older Estimate","12 or Older 95% CI (Lower)","12 or Older 95% CI (Upper)","12-17 Estimate","12-17 95% CI (Lower)","12-17 95% CI (Upper)","18-25 Estimate","18-25 95% CI (Lower)","18-25 95% CI (Upper)","26 or Older Estimate","26 or Older 95% CI (Lower)","26 or Older 95% CI (Upper)","18 or Older Estimate","18 or Older 95% CI (Lower)","18 or Older 95% CI (Upper)"
1,Total U.S.,"229,389","228,680","230,228","16,284","16,118","16,450","28,764","28,572","28,951","184,340","183,628","185,034","213,104","212,362","213,812"
2,Northeast,"40,668","40,395","40,957","2,715","2,661","2,767","5,035","4,972","5,094","32,918","32,655","33,170","37,953","37,678","38,214"
3,Midwest,"48,484","48,225","48,767","3,489","3,433","3,544","6,097","6,037","6,155","38,899","38,647","39,140","44,996","44,731","45,247"
4,South,"87,319","86,945","87,738","6,349","6,258","6,438","10,797","10,700","10,890","70,174","69,818","70,517","80,971","80,591","81,332"
5,West,"52,918","52,561","53,297","3,733","3,658","3,807","6,836","6,750","6,918","42,349","42,007","42,676","49,185","48,824","49,528"
6,Alabama,"3,579","3,520","3,635",256,242,269,448,435,460,"2,875","2,821","2,922","3,323","3,265","3,374"
7,Alaska,482,471,493,37,34,39,65,63,68,380,370,390,446,434,456
8,Arizona,"4,818","4,715","4,915",358,339,377,616,594,636,"3,844","3,748","3,927","4,460","4,358","4,550"
9,Arkansas,"2,129","2,091","2,166",158,150,165,271,262,278,"1,701","1,665","1,732","1,972","1,933","2,005"
10,California,"27,396","27,109","27,687","1,906","1,844","1,966","3,610","3,537","3,679","21,880","21,607","22,135","25,491","25,203","25,760"
11,Colorado,"3,771","3,685","3,853",258,242,274,476,456,494,"3,037","2,956","3,108","3,513","3,428","3,589"
12,Connecticut,"2,597","2,540","2,650",183,173,193,316,304,327,"2,097","2,045","2,143","2,413","2,358","2,462"
13,Delaware,688,675,701,44,41,47,81,78,83,564,551,574,644,631,656
14,District of Columbia,482,470,492,20,19,21,75,72,78,387,377,396,462,450,472
15,Florida,"15,256","15,091","15,419",956,925,985,"1,661","1,629","1,692","12,639","12,479","12,783","14,300","14,134","14,452"
16,Georgia,"7,330","7,221","7,435",599,573,623,945,918,969,"5,787","5,685","5,876","6,732","6,624","6,828"
17,Hawaii,953,929,976,61,57,65,111,107,115,781,758,801,892,869,913
18,Idaho,"1,139","1,114","1,162",96,91,101,138,132,144,904,882,923,"1,042","1,019","1,064"
19,Illinois,"9,207","9,089","9,324",642,616,666,"1,134","1,106","1,160","7,431","7,320","7,532","8,565","8,447","8,674"
20,Indiana,"4,712","4,623","4,796",355,336,373,619,597,638,"3,738","3,656","3,810","4,357","4,269","4,435"
21,Iowa,"2,167","2,121","2,211",158,150,166,286,274,296,"1,723","1,680","1,761","2,009","1,963","2,050"
22,Kansas,"2,011","1,974","2,047",152,144,160,271,261,280,"1,588","1,555","1,618","1,859","1,822","1,892"
23,Kentucky,"3,198","3,141","3,252",227,215,238,398,385,410,"2,572","2,520","2,618","2,971","2,915","3,020"
24,Louisiana,"3,305","3,247","3,359",238,225,251,416,401,429,"2,651","2,599","2,696","3,067","3,010","3,117"
25,Maine,984,964,"1,003",58,55,61,103,99,106,823,803,841,926,906,944
26,Maryland,"4,303","4,225","4,378",299,283,315,513,495,529,"3,491","3,419","3,555","4,004","3,927","4,073"
27,Massachusetts,"4,958","4,853","5,055",327,309,344,639,613,662,"3,992","3,895","4,076","4,631","4,527","4,723"
28,Michigan,"7,177","7,086","7,267",496,476,515,903,880,924,"5,778","5,692","5,855","6,681","6,591","6,763"
29,Minnesota,"3,692","3,596","3,782",260,244,276,441,420,459,"2,991","2,901","3,071","3,432","3,336","3,518"
30,Mississippi,"2,147","2,111","2,182",166,157,174,282,273,290,"1,699","1,666","1,728","1,982","1,946","2,013"
31,Missouri,"4,401","4,321","4,476",328,312,344,556,539,572,"3,516","3,440","3,581","4,072","3,992","4,142"
32,Montana,733,719,747,47,44,50,88,84,91,599,585,611,687,672,700
33,Nebraska,"1,316","1,289","1,341",97,92,103,174,167,180,"1,045","1,020","1,067","1,219","1,192","1,242"
34,Nevada,"2,042","1,993","2,088",140,132,148,239,230,246,"1,664","1,617","1,704","1,902","1,853","1,945"
35,New Hampshire,987,968,"1,005",64,61,67,116,111,120,807,789,823,923,904,940
36,New Jersey,"6,452","6,338","6,561",467,445,487,739,717,760,"5,246","5,138","5,341","5,985","5,872","6,087"
37,New Mexico,"1,440","1,408","1,470",109,103,114,185,178,191,"1,146","1,116","1,173","1,331","1,299","1,360"
38,New York,"14,122","13,936","14,306",930,896,962,"1,819","1,779","1,856","11,373","11,194","11,538","13,192","13,006","13,364"
39,North Carolina,"7,178","7,066","7,286",506,483,529,860,832,884,"5,812","5,705","5,906","6,671","6,558","6,773"
40,North Dakota,522,512,532,35,33,37,81,77,84,407,398,415,488,477,497
