"Table 11. Pain Reliever Misuse in the Past Year, by Age Group and State: Estimated Numbers (in Thousands), Annual Averages Based on 2015 and 2016 NSDUHs",,,,,,,,,,,,,,,,
"NOTE: Misuse of prescription psychotherapeutics is defined as use in any way not directed by a doctor, including use without a prescription of one's own; use in greater amounts, more often, or longer than told; or use in any other way not directed by a doctor. Prescription psychotherapeutics do not include over-the-counter drugs.",,,,,,,,,,,,,,,,
NOTE: Prescription psychotherapeutic subtypes were revised in 2016; one effect was the comparability of codeine products between 2015 and 2016.,,,,,,,,,,,,,,,,
"NOTE: State and census region estimates, along with the 95 percent Bayesian confidence (credible) intervals, are based on a survey-weighted hierarchical Bayes estimation approach and generated by Markov Chain Monte Carlo techniques. For the ""Total U.S."" row, design-based (direct) estimates and corresponding 95 percent confidence intervals are given.",,,,,,,,,,,,,,,,
"NOTE: The column labeled ""Order"" can be used to sort the data to the original sort order.",,,,,,,,,,,,,,,,
NOTE: Estimated numbers appearing as 0 in this table mean that the estimate is greater than 0 but less than 500 (because estimated numbers are shown in thousands).,,,,,,,,,,,,,,,,
"Source: SAMHSA, Center for Behavioral Health Statistics and Quality, National Survey on Drug Use and Health, 2015 and 2016.",,,,,,,,,,,,,,,,
Order,State,"12 or Older Estimate","12 or Older 95% CI (Lower)","12 or Older 95% CI (Upper)","12-17 Estimate","12-17 95% CI (Lower)","12-17 95% CI (Upper)","18-25 Estimate","18-25 95% CI (Lower)","18-25 95% CI (Upper)","26 or Older Estimate","26 or Older 95% CI (Lower)","26 or Older 95% CI (Upper)","18 or Older Estimate","18 or Older 95% CI (Lower)","18 or Older 95% CI (Upper)"
1,Total U.S.,"11,989","11,578","12,414",925,866,989,"2,717","2,589","2,850","8,347","7,968","8,744","11,064","10,662","11,480"
2,Northeast,"1,936","1,806","2,075",116,101,133,438,400,479,"1,382","1,264","1,511","1,820","1,692","1,957"
3,Midwest,"2,522","2,385","2,666",214,194,235,604,563,648,"1,704","1,580","1,837","2,308","2,173","2,451"
4,South,"4,460","4,243","4,688",375,343,410,981,920,"1,047","3,104","2,906","3,316","4,086","3,873","4,309"
5,West,"3,071","2,868","3,288",221,194,252,694,636,757,"2,156","1,973","2,355","2,850","2,652","3,063"
6,Alabama,209,178,245,19,14,25,53,43,65,137,110,170,190,159,225
7,Alaska,29,24,34,2,2,3,7,6,9,19,15,24,26,22,32
8,Arizona,267,225,317,23,18,30,59,48,73,185,147,232,244,203,293
9,Arkansas,121,102,143,11,8,14,26,21,33,83,67,103,109,91,131
10,California,"1,530","1,378","1,697",106,87,130,353,307,406,"1,070",936,"1,222","1,423","1,276","1,587"
11,Colorado,238,201,281,18,14,25,57,46,71,162,130,202,219,183,262
12,Connecticut,134,110,163,10,7,13,28,22,35,97,76,123,125,101,153
13,Delaware,36,30,42,2,2,3,7,6,9,26,21,33,33,28,40
14,District of Columbia,26,22,31,1,1,1,6,5,8,19,15,23,25,21,30
15,Florida,706,621,803,48,39,59,126,107,148,532,452,626,658,574,754
16,Georgia,345,295,403,30,23,39,78,63,95,237,193,291,315,266,372
17,Hawaii,45,37,54,3,2,4,10,7,12,32,25,41,42,34,51
18,Idaho,69,59,81,6,5,8,17,14,21,46,38,57,63,54,74
19,Illinois,435,380,498,41,33,50,113,95,133,282,233,340,395,341,457
20,Indiana,270,231,315,25,19,32,73,60,90,172,140,213,246,208,290
21,Iowa,105,89,125,10,7,13,26,21,33,70,55,87,96,80,115
22,Kansas,110,94,129,10,8,13,26,21,33,74,60,91,100,85,119
23,Kentucky,176,148,208,13,10,18,39,31,49,123,99,153,162,136,194
24,Louisiana,175,148,206,14,11,19,38,31,48,122,98,151,160,134,191
25,Maine,46,38,55,3,2,4,9,7,12,34,26,43,43,35,52
26,Maryland,208,176,247,15,12,21,48,39,60,145,116,181,193,161,231
27,Massachusetts,228,190,273,14,10,19,54,42,69,161,128,202,214,177,259
28,Michigan,408,360,462,31,25,38,96,82,112,281,238,331,377,329,431
29,Minnesota,200,167,239,15,12,20,42,33,52,143,114,180,185,153,224
30,Mississippi,111,94,131,11,9,15,25,20,31,75,60,93,100,83,119
31,Missouri,229,194,270,22,17,29,53,43,66,154,122,193,207,173,248
32,Montana,43,37,51,3,2,4,11,9,13,30,24,37,40,34,48
33,Nebraska,67,56,79,6,4,8,18,14,22,43,34,55,61,50,73
34,Nevada,120,100,144,9,7,12,23,18,29,89,71,111,111,92,135
35,New Hampshire,53,44,63,3,2,4,12,9,15,38,30,48,50,41,60
36,New Jersey,283,241,333,18,13,24,63,51,78,202,164,248,265,224,314
37,New Mexico,79,66,94,7,5,9,18,15,23,54,43,69,73,60,87
38,New York,648,571,736,38,30,48,152,129,178,458,388,541,610,534,697
39,North Carolina,390,337,451,32,25,41,90,74,109,268,221,323,358,307,417
40,North Dakota,28,23,33,2,2,3,7,6,9,18,15,23,26,21,31
41,Ohio,442,391,499,35,28,43,97,82,114,310,264,364,407,358,464
42,Oklahoma,153,128,183,14,11,18,38,30,47,102,81,129,140,116,169
43,Oregon,188,159,221,10,8,14,43,35,53,134,108,165,177,149,210
44,Pennsylvania,475,416,542,27,21,34,103,86,122,345,291,409,448,390,515
45,Rhode Island,43,36,51,3,2,4,10,8,13,30,24,38,40,34,48
46,South Carolina,187,159,220,15,12,20,46,37,57,126,102,156,172,144,204
47,South Dakota,32,27,38,3,2,4,8,6,10,21,17,27,29,24,35
48,Tennessee,263,224,308,20,15,26,66,54,81,177,143,219,243,205,288
49,Texas,"1,000",889,"1,125",101,83,123,213,181,252,686,588,800,899,792,"1,020"
50,Utah,117,100,136,11,8,14,32,26,40,74,60,91,106,90,125
51,Vermont,26,22,31,1,1,2,7,6,9,17,14,22,25,21,30
52,Virginia,288,247,335,22,17,29,65,53,80,200,164,243,265,225,312
53,Washington,324,269,389,20,15,26,58,46,73,246,195,308,304,250,369
