"Table 12. Alcohol Use in the Past Month, by Age Group and State: Estimated Numbers (in Thousands), Annual Averages Based on 2015 and 2016 NSDUHs",,,,,,,,,,,,,,,,
"NOTE: State and census region estimates, along with the 95 percent Bayesian confidence (credible) intervals, are based on a survey-weighted hierarchical Bayes estimation approach and generated by Markov Chain Monte Carlo techniques. For the ""Total U.S."" row, design-based (direct) estimates and corresponding 95 percent confidence intervals are given.",,,,,,,,,,,,,,,,
"NOTE: The column labeled ""Order"" can be used to sort the data to the original sort order.",,,,,,,,,,,,,,,,
NOTE: Estimated numbers appearing as 0 in this table mean that the estimate is greater than 0 but less than 500 (because estimated numbers are shown in thousands).,,,,,,,,,,,,,,,,
"Source: SAMHSA, Center for Behavioral Health Statistics and Quality, National Survey on Drug Use and Health, 2015 and 2016.",,,,,,,,,,,,,,,,
Order,State,"12 or Older Estimate","12 or Older 95% CI (Lower)","12 or Older 95% CI (Upper)","12-17 Estimate","12-17 95% CI (Lower)","12-17 95% CI (Upper)","18-25 Estimate","18-25 95% CI (Lower)","18-25 95% CI (Upper)","26 or Older Estimate","26 or Older 95% CI (Lower)","26 or Older 95% CI (Upper)","18 or Older Estimate","18 or Older 95% CI (Lower)","18 or Older 95% CI (Upper)"
1,Total U.S.,"137,531","136,311","138,745","2,341","2,237","2,448","20,060","19,789","20,330","115,130","113,990","116,262","135,190","133,995","136,378"
2,Northeast,"26,782","26,360","27,203",450,418,484,"3,890","3,800","3,978","22,442","22,036","22,845","26,332","25,910","26,751"
3,Midwest,"30,827","30,406","31,246",524,490,560,"4,553","4,466","4,639","25,749","25,349","26,148","30,302","29,883","30,720"
4,South,"47,824","47,187","48,459",828,778,882,"7,035","6,892","7,178","39,960","39,357","40,561","46,996","46,360","47,628"
5,West,"32,098","31,551","32,642",538,496,584,"4,582","4,465","4,700","26,978","26,453","27,498","31,560","31,015","32,100"
6,Alabama,"1,656","1,549","1,767",31,24,38,265,245,285,"1,361","1,257","1,466","1,626","1,518","1,735"
7,Alaska,307,292,323,6,5,7,47,44,50,254,239,269,301,286,317
8,Arizona,"2,901","2,744","3,058",44,35,54,403,373,432,"2,454","2,303","2,603","2,857","2,700","3,013"
9,Arkansas,988,921,"1,058",21,17,26,157,145,169,810,745,877,967,900,"1,036"
10,California,"16,226","15,798","16,654",276,241,315,"2,380","2,286","2,474","13,570","13,157","13,982","15,951","15,524","16,375"
