"Table 14. Perceptions of Great Risk from Having Five or More Drinks of an Alcoholic Beverage Once or Twice a Week, by Age Group and State: Estimated Numbers (in Thousands), Annual Averages Based on 2015 and 2016 NSDUHs",,,,,,,,,,,,,,,,
"NOTE: State and census region estimates, along with the 95 percent Bayesian confidence (credible) intervals, are based on a survey-weighted hierarchical Bayes estimation approach and generated by Markov Chain Monte Carlo techniques. For the ""Total U.S."" row, design-based (direct) estimates and corresponding 95 percent confidence intervals are given.",,,,,,,,,,,,,,,,
"NOTE: The column labeled ""Order"" can be used to sort the data to the original sort order.",,,,,,,,,,,,,,,,
NOTE: Estimated numbers appearing as 0 in this table mean that the estimate is greater than 0 but less than 500 (because estimated numbers are shown in thousands).,,,,,,,,,,,,,,,,
"Source: SAMHSA, Center for Behavioral Health Statistics and Quality, National Survey on Drug Use and Health, 2015 and 2016.",,,,,,,,,,,,,,,,
Order,State,"12 or Older Estimate","12 or Older 95% CI (Lower)","12 or Older 95% CI (Upper)","12-17 Estimate","12-17 95% CI (Lower)","12-17 95% CI (Upper)","18-25 Estimate","18-25 95% CI (Lower)","18-25 95% CI (Upper)","26 or Older Estimate","26 or Older 95% CI (Lower)","26 or Older 95% CI (Upper)","18 or Older Estimate","18 or Older 95% CI (Lower)","18 or Older 95% CI (Upper)"
1,Total U.S.,"118,998","117,800","120,175","10,778","10,604","10,953","12,823","12,583","13,065","95,396","94,262","96,531","108,219","107,035","109,379"
2,Northeast,"20,563","20,134","20,990","1,766","1,710","1,821","2,081","2,004","2,159","16,716","16,314","17,120","18,797","18,378","19,214"
3,Midwest,"22,468","22,045","22,888","2,114","2,056","2,173","2,374","2,296","2,453","17,979","17,579","18,382","20,353","19,942","20,762"
4,South,"46,498","45,854","47,135","4,324","4,228","4,420","5,057","4,931","5,185","37,117","36,508","37,727","42,174","41,543","42,798"
5,West,"29,469","28,935","29,997","2,575","2,497","2,653","3,311","3,202","3,421","23,583","23,076","24,090","26,894","26,370","27,411"
6,Alabama,"1,891","1,787","1,995",168,153,183,209,190,228,"1,514","1,417","1,612","1,723","1,622","1,824"
7,Alaska,243,228,258,23,21,25,28,25,31,192,179,206,220,206,234
8,Arizona,"2,724","2,575","2,874",255,234,276,289,261,317,"2,180","2,042","2,318","2,469","2,325","2,614"
9,Arkansas,"1,072","1,006","1,139",106,96,115,112,100,124,854,795,915,967,904,"1,030"
10,California,"15,952","15,541","16,360","1,336","1,271","1,402","1,842","1,752","1,935","12,773","12,383","13,162","14,616","14,212","15,016"
11,Colorado,"1,907","1,787","2,028",172,157,189,192,170,215,"1,543","1,432","1,655","1,734","1,618","1,853"
12,Connecticut,"1,312","1,227","1,398",121,110,132,126,112,141,"1,065",987,"1,144","1,191","1,109","1,274"
13,Delaware,349,327,371,31,28,33,38,34,41,281,261,301,318,297,340
14,District of Columbia,243,228,257,14,13,16,32,29,36,196,183,210,228,214,243
15,Florida,"8,206","7,924","8,489",633,601,666,801,757,846,"6,772","6,503","7,042","7,573","7,296","7,851"
16,Georgia,"3,881","3,703","4,061",425,397,452,463,429,499,"2,993","2,827","3,161","3,457","3,284","3,630"
17,Hawaii,556,525,587,45,42,49,55,50,61,455,426,485,511,481,541
