"Table 16. Tobacco Product Use in the Past Month, by Age Group and State: Estimated Numbers (in Thousands), Annual Averages Based on 2015 and 2016 NSDUHs",,,,,,,,,,,,,,,,
"NOTE: Tobacco Products include cigarettes, smokeless tobacco (i.e., snuff, dip, chewing tobacco, or ""snus""), cigars, or pipe tobacco.",,,,,,,,,,,,,,,,
"NOTE: State and census region estimates, along with the 95 percent Bayesian confidence (credible) intervals, are based on a survey-weighted hierarchical Bayes estimation approach and generated by Markov Chain Monte Carlo techniques. For the ""Total U.S."" row, design-based (direct) estimates and corresponding 95 percent confidence intervals are given. ",,,,,,,,,,,,,,,,
"NOTE: The column labeled ""Order"" can be used to sort the data to the original sort order.",,,,,,,,,,,,,,,,
NOTE: Estimated numbers appearing as 0 in this table mean that the estimate is greater than 0 but less than 500 (because estimated numbers are shown in thousands).,,,,,,,,,,,,,,,,
"Source: SAMHSA, Center for Behavioral Health Statistics and Quality, National Survey on Drug Use and Health, 2015 and 2016.",,,,,,,,,,,,,,,,
Order,State,"12 or Older Estimate","12 or Older 95% CI (Lower)","12 or Older 95% CI (Upper)","12-17 Estimate","12-17 95% CI (Lower)","12-17 95% CI (Upper)","18-25 Estimate","18-25 95% CI (Lower)","18-25 95% CI (Upper)","26 or Older Estimate","26 or Older 95% CI (Lower)","26 or Older 95% CI (Upper)","18 or Older Estimate","18 or Older 95% CI (Lower)","18 or Older 95% CI (Upper)"
1,Total U.S.,"63,693","62,693","64,706","1,408","1,334","1,486","10,937","10,695","11,182","51,348","50,412","52,297","62,285","61,301","63,282"
2,Northeast,"10,875","10,521","11,238",222,201,244,"1,926","1,850","2,003","8,728","8,394","9,072","10,654","10,302","11,014"
3,Midwest,"15,059","14,692","15,432",357,330,385,"2,603","2,522","2,686","12,099","11,749","12,456","14,703","14,339","15,072"
4,South,"25,607","25,083","26,141",562,521,605,"4,174","4,057","4,293","20,871","20,367","21,385","25,045","24,528","25,572"
5,West,"12,152","11,754","12,561",268,241,298,"2,234","2,139","2,331","9,650","9,270","10,041","11,883","11,489","12,288"
6,Alabama,"1,169","1,077","1,265",29,23,36,190,171,209,951,865,"1,041","1,140","1,049","1,235"
7,Alaska,173,160,187,6,5,7,30,27,33,137,124,150,167,154,181
8,Arizona,"1,230","1,115","1,353",24,19,31,225,200,252,981,875,"1,095","1,206","1,092","1,328"
9,Arkansas,773,713,836,18,14,22,117,105,129,639,583,698,756,696,817
10,California,"5,540","5,226","5,868",119,100,141,"1,017",941,"1,096","4,405","4,110","4,716","5,421","5,109","5,747"
11,Colorado,967,878,"1,062",20,15,25,196,174,219,751,670,839,947,859,"1,042"
12,Connecticut,680,612,752,15,12,19,131,116,147,533,472,600,665,598,736
13,Delaware,180,163,199,3,3,4,29,26,33,148,131,166,177,159,196
14,District of Columbia,130,117,143,1,1,2,26,23,30,102,91,114,128,116,141
15,Florida,"3,583","3,375","3,801",62,52,76,520,480,562,"3,000","2,799","3,212","3,520","3,313","3,737"
16,Georgia,"2,083","1,933","2,240",50,41,61,351,318,386,"1,682","1,542","1,830","2,033","1,885","2,188"
17,Hawaii,212,190,237,4,3,5,35,31,39,173,152,196,208,186,232
18,Idaho,286,260,314,8,7,11,55,49,61,223,199,249,278,252,305
19,Illinois,"2,439","2,291","2,594",61,52,73,433,399,468,"1,945","1,805","2,093","2,378","2,231","2,532"
20,Indiana,"1,578","1,450","1,713",42,34,52,278,250,306,"1,259","1,140","1,384","1,537","1,409","1,670"
21,Iowa,722,663,784,16,13,20,136,123,150,570,515,628,706,647,767
22,Kansas,583,535,634,14,11,17,106,94,118,464,419,511,569,521,620
23,Kentucky,"1,260","1,173","1,350",33,27,40,205,186,224,"1,023",941,"1,108","1,228","1,141","1,316"
24,Louisiana,"1,170","1,082","1,261",29,23,36,180,162,199,961,879,"1,046","1,141","1,054","1,231"
25,Maine,279,253,307,8,6,9,44,39,49,227,203,254,271,245,299
26,Maryland,"1,107","1,005","1,217",25,20,32,197,175,221,884,791,985,"1,082",981,"1,190"
27,Massachusetts,"1,194","1,080","1,317",23,18,30,246,217,277,925,821,"1,039","1,171","1,057","1,293"
28,Michigan,"2,249","2,123","2,379",52,44,61,377,351,404,"1,820","1,702","1,944","2,197","2,073","2,326"
29,Minnesota,"1,083",987,"1,186",24,19,30,194,174,215,865,775,962,"1,059",964,"1,160"
30,Mississippi,751,691,813,20,16,24,116,104,128,615,559,674,731,672,792
31,Missouri,"1,494","1,374","1,620",40,32,49,254,230,279,"1,200","1,089","1,318","1,454","1,336","1,578"
32,Montana,251,230,273,8,6,9,43,39,48,200,181,221,243,223,265
33,Nebraska,409,374,446,8,6,10,72,64,81,329,297,363,401,367,437
34,Nevada,570,516,628,12,10,16,82,72,93,476,425,530,558,504,615
35,New Hampshire,280,255,306,7,5,8,51,46,57,222,199,246,273,249,299
36,New Jersey,"1,454","1,327","1,590",32,26,40,270,243,299,"1,152","1,033","1,280","1,422","1,296","1,557"
37,New Mexico,430,390,472,8,6,10,77,69,86,345,308,385,422,383,464
38,New York,"3,695","3,485","3,914",69,58,82,621,576,669,"3,005","2,805","3,214","3,626","3,417","3,843"
39,North Carolina,"2,175","2,028","2,329",46,37,57,377,345,411,"1,752","1,614","1,897","2,129","1,984","2,281"
40,North Dakota,179,165,194,4,3,5,39,35,43,136,123,149,175,161,190
41,Ohio,"2,883","2,733","3,038",63,54,74,477,446,508,"2,343","2,199","2,492","2,820","2,670","2,974"
42,Oklahoma,988,908,"1,072",23,18,29,152,136,170,813,738,891,965,886,"1,048"
