"Table 17. Cigarette Use in the Past Month, by Age Group and State: Estimated Numbers (in Thousands), Annual Averages Based on 2015 and 2016 NSDUHs",,,,,,,,,,,,,,,,
"NOTE: State and census region estimates, along with the 95 percent Bayesian confidence (credible) intervals, are based on a survey-weighted hierarchical Bayes estimation approach and generated by Markov Chain Monte Carlo techniques. For the ""Total U.S."" row, design-based (direct) estimates and corresponding 95 percent confidence intervals are given.",,,,,,,,,,,,,,,,
"NOTE: The column labeled ""Order"" can be used to sort the data to the original sort order.",,,,,,,,,,,,,,,,
NOTE: Estimated numbers appearing as 0 in this table mean that the estimate is greater than 0 but less than 500 (because estimated numbers are shown in thousands).,,,,,,,,,,,,,,,,
"Source: SAMHSA, Center for Behavioral Health Statistics and Quality, National Survey on Drug Use and Health, 2015 and 2016.",,,,,,,,,,,,,,,,
Order,State,"12 or Older Estimate","12 or Older 95% CI (Lower)","12 or Older 95% CI (Upper)","12-17 Estimate","12-17 95% CI (Lower)","12-17 95% CI (Upper)","18-25 Estimate","18-25 95% CI (Lower)","18-25 95% CI (Upper)","26 or Older Estimate","26 or Older 95% CI (Lower)","26 or Older 95% CI (Upper)","18 or Older Estimate","18 or Older 95% CI (Lower)","18 or Older 95% CI (Upper)"
1,Total U.S.,"51,642","50,666","52,633",947,887,"1,011","8,725","8,488","8,967","41,970","41,057","42,899","50,695","49,730","51,674"
2,Northeast,"8,823","8,511","9,144",141,127,158,"1,517","1,445","1,591","7,164","6,863","7,475","8,681","8,372","9,000"
3,Midwest,"12,084","11,744","12,431",251,228,275,"2,045","1,966","2,125","9,789","9,457","10,130","11,834","11,495","12,179"
4,South,"20,716","20,212","21,233",369,337,404,"3,346","3,229","3,467","17,001","16,500","17,515","20,347","19,846","20,861"
5,West,"10,018","9,640","10,408",186,163,211,"1,817","1,723","1,915","8,016","7,654","8,391","9,833","9,457","10,219"
6,Alabama,920,836,"1,009",18,14,23,144,127,162,758,679,842,901,818,990
7,Alaska,136,124,149,4,3,5,24,22,27,107,96,120,132,120,145
8,Arizona,"1,024",918,"1,140",16,12,22,178,155,203,830,732,938,"1,008",902,"1,123"
9,Arkansas,638,585,694,13,10,16,95,84,107,530,481,583,625,573,681
10,California,"4,667","4,381","4,967",81,65,100,850,776,929,"3,736","3,466","4,024","4,586","4,302","4,884"
11,Colorado,766,683,857,14,11,19,153,132,176,599,525,680,752,669,841
12,Connecticut,548,488,615,10,8,13,106,93,121,432,376,494,539,478,605
