"Table 18. Perceptions of Great Risk from Smoking One or More Packs of Cigarettes per Day, by Age Group and State: Estimated Numbers (in Thousands), Annual Averages Based on 2015 and 2016 NSDUHs",,,,,,,,,,,,,,,,
"NOTE: State and census region estimates, along with the 95 percent Bayesian confidence (credible) intervals, are based on a survey-weighted hierarchical Bayes estimation approach and generated by Markov Chain Monte Carlo techniques. For the ""Total U.S."" row, design-based (direct) estimates and corresponding 95 percent confidence intervals are given.",,,,,,,,,,,,,,,,
"NOTE: The column labeled ""Order"" can be used to sort the data to the original sort order.",,,,,,,,,,,,,,,,
NOTE: Estimated numbers appearing as 0 in this table mean that the estimate is greater than 0 but less than 500 (because estimated numbers are shown in thousands).,,,,,,,,,,,,,,,,
"Source: SAMHSA, Center for Behavioral Health Statistics and Quality, National Survey on Drug Use and Health, 2015 and 2016.",,,,,,,,,,,,,,,,
Order,State,"12 or Older Estimate","12 or Older 95% CI (Lower)","12 or Older 95% CI (Upper)","12-17 Estimate","12-17 95% CI (Lower)","12-17 95% CI (Upper)","18-25 Estimate","18-25 95% CI (Lower)","18-25 95% CI (Upper)","26 or Older Estimate","26 or Older 95% CI (Lower)","26 or Older 95% CI (Upper)","18 or Older Estimate","18 or Older 95% CI (Lower)","18 or Older 95% CI (Upper)"
1,Total U.S.,"195,523","194,513","196,528","17,106","16,945","17,265","23,722","23,505","23,936","154,695","153,739","155,638","178,417","177,408","179,405"
2,Northeast,"35,657","35,306","36,003","2,941","2,888","2,992","4,234","4,159","4,306","28,483","28,146","28,811","32,716","32,369","33,055"
3,Midwest,"39,089","38,695","39,479","3,595","3,533","3,655","4,808","4,730","4,884","30,687","30,311","31,057","35,495","35,106","35,876"
4,South,"72,922","72,387","73,451","6,445","6,355","6,533","8,722","8,606","8,836","57,755","57,247","58,253","66,477","65,949","66,993"
5,West,"47,855","47,420","48,282","4,126","4,049","4,200","5,959","5,859","6,056","37,771","37,358","38,172","43,730","43,302","44,144"
6,Alabama,"2,854","2,760","2,944",257,243,270,334,316,352,"2,262","2,173","2,346","2,597","2,504","2,685"
7,Alaska,411,397,424,36,33,38,53,50,56,321,309,334,375,361,387
8,Arizona,"4,202","4,075","4,322",379,359,398,512,486,537,"3,310","3,189","3,423","3,822","3,698","3,940"
9,Arkansas,"1,719","1,658","1,778",158,150,166,212,201,222,"1,349","1,291","1,404","1,561","1,501","1,618"
10,California,"25,519","25,176","25,851","2,148","2,086","2,209","3,272","3,189","3,351","20,098","19,773","20,409","23,370","23,032","23,694"
11,Colorado,"3,377","3,275","3,473",289,273,303,400,379,421,"2,688","2,592","2,776","3,088","2,989","3,181"
12,Connecticut,"2,294","2,218","2,364",199,189,209,272,259,285,"1,822","1,750","1,889","2,094","2,020","2,164"
13,Delaware,575,555,594,47,45,49,68,65,71,460,441,477,528,508,546
14,District of Columbia,444,432,456,19,18,21,68,65,71,357,345,367,425,413,436
15,Florida,"13,442","13,211","13,664","1,003",973,"1,031","1,414","1,373","1,454","11,025","10,800","11,237","12,439","12,210","12,658"
16,Georgia,"6,084","5,928","6,233",588,562,612,744,711,775,"4,752","4,605","4,891","5,496","5,343","5,642"
17,Hawaii,840,812,867,64,60,67,91,86,95,685,658,711,776,748,802
