"Table 19. Illicit Drug Use Disorder in the Past Year, by Age Group and State: Estimated Numbers (in Thousands), Annual Averages Based on 2015 and 2016 NSDUHs",,,,,,,,,,,,,,,,
NOTE: Illicit Drug Use Disorder is defined as meeting criteria for illicit drug dependence or abuse. Dependence or abuse is based on definitions found in the 4th edition of the Diagnostic and Statistical Manual of Mental Disorders (DSM-IV).,,,,,,,,,,,,,,,,
"NOTE: Illicit Drug Use includes the misuse of prescription psychotherapeutics or the use of marijuana, cocaine (including crack), heroin, hallucinogens, inhalants, or methamphetamine. Misuse of prescription psychotherapeutics is defined as use in any way not directed by a doctor, including use without a prescription of one's own; use in greater amounts, more often, or longer than told; or use in any other way not directed by a doctor. Prescription psychotherapeutics do not include over-the-counter drugs.",,,,,,,,,,,,,,,,
"NOTE: State and census region estimates, along with the 95 percent Bayesian confidence (credible) intervals, are based on a survey-weighted hierarchical Bayes estimation approach and generated by Markov Chain Monte Carlo techniques. For the ""Total U.S."" row, design-based (direct) estimates and corresponding 95 percent confidence intervals are given.",,,,,,,,,,,,,,,,
"NOTE: The column labeled ""Order"" can be used to sort the data to the original sort order.",,,,,,,,,,,,,,,,
NOTE: Estimated numbers appearing as 0 in this table mean that the estimate is greater than 0 but less than 500 (because estimated numbers are shown in thousands).,,,,,,,,,,,,,,,,
"Source: SAMHSA, Center for Behavioral Health Statistics and Quality, National Survey on Drug Use and Health, 2015 and 2016.",,,,,,,,,,,,,,,,
Order,State,"12 or Older Estimate","12 or Older 95% CI (Lower)","12 or Older 95% CI (Upper)","12-17 Estimate","12-17 95% CI (Lower)","12-17 95% CI (Upper)","18-25 Estimate","18-25 95% CI (Lower)","18-25 95% CI (Upper)","26 or Older Estimate","26 or Older 95% CI (Lower)","26 or Older 95% CI (Upper)","18 or Older Estimate","18 or Older 95% CI (Lower)","18 or Older 95% CI (Upper)"
1,Total U.S.,"7,559","7,254","7,877",822,763,884,"2,479","2,355","2,609","4,258","3,998","4,535","6,737","6,439","7,049"
2,Northeast,"1,359","1,244","1,486",121,105,138,464,422,510,774,682,879,"1,239","1,127","1,361"
3,Midwest,"1,483","1,368","1,606",171,153,191,481,441,524,831,739,933,"1,312","1,202","1,431"
4,South,"2,665","2,495","2,845",292,264,322,878,816,945,"1,494","1,357","1,646","2,373","2,210","2,547"
5,West,"2,053","1,885","2,234",238,210,270,656,597,720,"1,158","1,021","1,313","1,814","1,655","1,988"
6,Alabama,121,97,152,10,8,14,40,31,52,71,53,95,111,87,141
7,Alaska,25,20,31,3,2,4,7,6,9,15,12,20,22,18,28
8,Arizona,198,160,245,26,19,34,65,51,82,108,80,145,172,136,217
9,Arkansas,63,49,79,7,5,10,18,14,24,37,27,50,55,43,71
10,California,"1,068",940,"1,214",120,99,145,346,298,401,602,501,724,949,827,"1,087"
11,Colorado,138,110,172,16,12,21,47,36,60,75,56,101,122,96,154
12,Connecticut,111,87,140,11,8,16,39,30,50,60,44,83,99,78,127
13,Delaware,24,19,31,2,2,3,8,6,10,14,11,19,22,17,28
14,District of Columbia,18,14,23,1,1,1,6,4,8,11,8,15,17,13,22
15,Florida,427,369,495,47,38,57,136,115,160,244,199,301,381,325,446
16,Georgia,213,173,262,22,17,29,64,51,82,126,96,166,191,153,238
17,Hawaii,31,24,39,3,2,4,10,8,13,18,13,24,28,22,36
18,Idaho,38,31,47,5,4,7,12,9,16,21,16,28,33,26,42
19,Illinois,277,232,331,33,26,41,88,72,108,156,122,199,245,202,296
20,Indiana,136,107,172,17,12,23,44,33,58,75,55,103,119,92,154
21,Iowa,59,46,74,7,5,10,21,16,27,31,22,42,51,40,66
22,Kansas,56,44,71,7,5,10,19,14,25,30,22,41,49,38,63
