"Table 22. Substance Use Disorder in the Past Year, by Age Group and State: Estimated Numbers (in Thousands), Annual Averages Based on 2015 and 2016 NSDUHs",,,,,,,,,,,,,,,,
NOTE: Substance Use Disorder is defined as meeting criteria for illicit drug or alcohol dependence or abuse. Dependence or abuse is based on definitions found in the 4th edition of the Diagnostic and Statistical Manual of Mental Disorders (DSM-IV).,,,,,,,,,,,,,,,,
"NOTE: Illicit Drug Use includes the misuse of prescription psychotherapeutics or the use of marijuana, cocaine (including crack), heroin, hallucinogens, inhalants, or methamphetamine. Misuse of prescription psychotherapeutics is defined as use in any way not directed by a doctor, including use without a prescription of one's own; use in greater amounts, more often, or longer than told; or use in any other way not directed by a doctor. Prescription psychotherapeutics do not include over-the-counter drugs.",,,,,,,,,,,,,,,,
"NOTE: State and census region estimates, along with the 95 percent Bayesian confidence (credible) intervals, are based on a survey-weighted hierarchical Bayes estimation approach and generated by Markov Chain Monte Carlo techniques. For the ""Total U.S."" row, design-based (direct) estimates and corresponding 95 percent confidence intervals are given.",,,,,,,,,,,,,,,,
"NOTE: The column labeled ""Order"" can be used to sort the data to the original sort order.",,,,,,,,,,,,,,,,
NOTE: Estimated numbers appearing as 0 in this table mean that the estimate is greater than 0 but less than 500 (because estimated numbers are shown in thousands).,,,,,,,,,,,,,,,,
"Source: SAMHSA, Center for Behavioral Health Statistics and Quality, National Survey on Drug Use and Health, 2015 and 2016.",,,,,,,,,,,,,,,,
Order,State,"12 or Older Estimate","12 or Older 95% CI (Lower)","12 or Older 95% CI (Upper)","12-17 Estimate","12-17 95% CI (Lower)","12-17 95% CI (Upper)","18-25 Estimate","18-25 95% CI (Lower)","18-25 95% CI (Upper)","26 or Older Estimate","26 or Older 95% CI (Lower)","26 or Older 95% CI (Upper)","18 or Older Estimate","18 or Older 95% CI (Lower)","18 or Older 95% CI (Upper)"
1,Total U.S.,"20,461","19,921","21,014","1,148","1,080","1,221","5,282","5,097","5,471","14,031","13,544","14,534","19,313","18,778","19,860"
2,Northeast,"3,791","3,587","4,005",174,157,194,"1,018",957,"1,082","2,598","2,411","2,798","3,616","3,416","3,828"
3,Midwest,"4,388","4,188","4,596",254,232,277,"1,148","1,089","1,209","2,987","2,804","3,180","4,134","3,938","4,339"
4,South,"7,053","6,750","7,368",400,366,437,"1,830","1,739","1,924","4,823","4,539","5,123","6,653","6,355","6,963"
5,West,"5,230","4,960","5,512",321,288,357,"1,286","1,207","1,369","3,624","3,374","3,889","4,909","4,644","5,187"
6,Alabama,258,219,302,15,11,19,72,61,85,171,138,212,243,206,287
7,Alaska,56,48,64,5,4,6,13,11,15,38,32,46,51,44,59
8,Arizona,431,369,502,31,24,39,124,106,146,276,224,340,400,340,471
9,Arkansas,164,140,193,10,8,12,42,35,50,113,91,139,155,130,183
10,California,"2,757","2,543","2,987",154,131,181,659,597,726,"1,944","1,749","2,159","2,603","2,392","2,830"
11,Colorado,388,334,450,28,22,36,100,85,117,260,213,316,360,306,422
12,Connecticut,280,238,329,14,11,18,71,60,84,195,157,240,266,225,315
13,Delaware,63,54,74,3,2,4,16,13,18,45,36,55,60,51,71
14,District of Columbia,60,52,69,2,1,2,17,14,20,41,34,49,58,50,67
15,Florida,"1,237","1,116","1,371",60,51,72,291,262,323,885,773,"1,013","1,176","1,057","1,309"
16,Georgia,526,455,607,32,25,40,137,117,161,356,294,431,494,424,575
17,Hawaii,81,69,95,4,3,5,20,17,24,56,46,69,77,65,91
18,Idaho,104,89,120,8,6,10,25,21,30,71,58,86,96,82,112
19,Illinois,810,719,910,53,43,65,203,179,229,554,473,647,757,668,856
20,Indiana,391,333,459,23,18,29,110,93,130,258,209,319,368,311,435
21,Iowa,201,173,234,12,9,15,52,44,61,138,113,168,190,162,222
22,Kansas,162,137,190,12,9,15,49,41,59,101,80,126,150,126,178
23,Kentucky,284,242,333,14,11,18,68,57,81,202,165,247,270,229,318
24,Louisiana,309,262,364,16,12,20,69,57,82,225,182,276,293,247,348
25,Maine,88,74,104,5,4,6,20,17,23,64,51,78,83,70,99
26,Maryland,412,353,479,18,14,23,110,93,129,284,232,347,394,336,461
27,Massachusetts,574,497,661,22,17,28,149,125,175,403,335,482,552,475,638
28,Michigan,652,585,727,37,31,45,173,154,194,442,382,511,615,549,689
29,Minnesota,354,304,412,21,17,27,95,81,112,237,193,290,332,283,390
30,Mississippi,157,132,186,9,7,12,40,33,48,107,86,133,147,123,176
31,Missouri,388,331,453,21,17,26,98,83,116,269,219,329,367,311,432
32,Montana,77,67,90,5,4,6,21,18,24,52,43,63,73,62,85
33,Nebraska,122,103,144,7,5,9,31,26,36,85,68,105,115,96,137
34,Nevada,176,149,208,12,10,16,44,37,53,120,96,149,164,138,195
35,New Hampshire,96,82,112,4,3,6,26,22,31,65,53,80,91,78,107
36,New Jersey,474,409,548,27,21,34,141,121,164,306,249,375,447,383,521
37,New Mexico,153,130,180,12,9,15,37,31,44,104,84,128,141,119,168
38,New York,"1,342","1,214","1,481",63,53,75,348,311,389,930,817,"1,058","1,278","1,153","1,416"
39,North Carolina,565,491,650,32,26,41,151,131,173,382,317,460,533,460,617
40,North Dakota,54,46,62,3,2,4,16,13,18,35,29,43,51,44,59
41,Ohio,767,686,857,39,32,47,196,174,221,532,459,616,728,648,818
42,Oklahoma,219,186,259,14,11,17,56,46,67,150,121,185,206,173,244
43,Oregon,330,286,379,17,14,22,75,64,88,237,198,283,312,269,361
44,Pennsylvania,807,721,902,33,27,40,223,199,250,550,473,639,774,689,868
45,Rhode Island,81,69,94,4,3,5,23,19,27,54,44,65,77,65,89
46,South Carolina,318,273,371,16,12,20,82,69,96,221,180,269,302,258,354
47,South Dakota,63,54,73,4,3,5,15,12,17,44,36,53,59,50,69
