"Table 24. Needing But Not Receiving Treatment at a Specialty Facility for Alcohol Use in the Past Year, by Age Group and State: Estimated Numbers (in Thousands), Annual Averages Based on 2015 and 2016 NSDUHs",,,,,,,,,,,,,,,,
"NOTE: Respondents were classified as needing treatment for an alcohol problem if they met the criteria for an alcohol use disorder as defined in the 4th edition of the Diagnostic and Statistical Manual of Mental Disorders (DSM-IV) or received treatment for alcohol use at a specialty facility (i.e., drug and alcohol rehabilitation facility [inpatient or outpatient], hospital [inpatient only], or mental health center). ",,,,,,,,,,,,,,,,
"NOTE: State and census region estimates, along with the 95 percent Bayesian confidence (credible) intervals, are based on a survey-weighted hierarchical Bayes estimation approach and generated by Markov Chain Monte Carlo techniques. For the ""Total U.S."" row, design-based (direct) estimates and corresponding 95 percent confidence intervals are given.",,,,,,,,,,,,,,,,
"NOTE: The column labeled ""Order"" can be used to sort the data to the original sort order.",,,,,,,,,,,,,,,,
NOTE: Estimated numbers appearing as 0 in this table mean that the estimate is greater than 0 but less than 500 (because estimated numbers are shown in thousands).,,,,,,,,,,,,,,,,
"Source: SAMHSA, Center for Behavioral Health Statistics and Quality, National Survey on Drug Use and Health, 2015 and 2016.",,,,,,,,,,,,,,,,
Order,State,"12 or Older Estimate","12 or Older 95% CI (Lower)","12 or Older 95% CI (Upper)","12-17 Estimate","12-17 95% CI (Lower)","12-17 95% CI (Upper)","18-25 Estimate","18-25 95% CI (Lower)","18-25 95% CI (Upper)","26 or Older Estimate","26 or Older 95% CI (Lower)","26 or Older 95% CI (Upper)","18 or Older Estimate","18 or Older 95% CI (Lower)","18 or Older 95% CI (Upper)"
1,Total U.S.,"14,712","14,246","15,192",534,486,587,"3,637","3,480","3,800","10,541","10,114","10,984","14,178","13,715","14,655"
2,Northeast,"2,714","2,551","2,886",89,77,103,679,633,728,"1,945","1,795","2,108","2,624","2,463","2,796"
3,Midwest,"3,165","3,000","3,340",118,104,133,786,742,833,"2,262","2,107","2,427","3,048","2,884","3,220"
4,South,"5,041","4,793","5,300",195,174,220,"1,246","1,176","1,320","3,599","3,371","3,842","4,846","4,602","5,100"
5,West,"3,792","3,571","4,026",132,114,153,925,858,996,"2,735","2,532","2,952","3,660","3,442","3,891"
6,Alabama,164,136,196,7,5,9,45,37,55,111,87,143,157,130,189
7,Alaska,38,32,45,1,1,2,8,7,10,29,23,36,37,31,44
8,Arizona,290,245,342,12,9,17,86,71,104,191,152,241,278,234,329
9,Arkansas,109,92,129,5,4,7,29,24,35,74,59,94,104,87,123
10,California,"2,039","1,860","2,234",66,52,83,492,436,553,"1,481","1,317","1,664","1,973","1,796","2,166"
11,Colorado,296,250,349,10,8,14,69,58,83,217,174,268,286,241,338
12,Connecticut,197,165,235,7,5,10,42,34,50,148,118,185,190,158,227
13,Delaware,46,38,55,1,1,2,10,9,12,34,27,43,44,37,53
14,District of Columbia,46,40,54,1,0,1,13,11,16,32,26,40,46,39,54
15,Florida,910,805,"1,027",30,24,38,188,166,214,691,593,805,880,776,996
16,Georgia,364,309,427,15,12,21,98,82,117,250,202,311,348,295,411
17,Hawaii,56,47,67,2,1,3,15,12,18,39,31,50,54,45,65
18,Idaho,71,60,84,4,3,5,17,14,20,51,40,63,67,56,80
19,Illinois,583,515,660,22,17,28,145,127,167,416,354,488,561,494,637
20,Indiana,275,231,326,11,8,16,75,63,90,188,149,237,264,221,314
21,Iowa,164,137,194,6,4,8,40,33,48,118,94,148,158,132,188
22,Kansas,117,100,138,6,4,8,38,32,46,73,58,93,112,94,132
23,Kentucky,177,147,211,7,5,10,41,34,50,128,101,161,170,141,204
24,Louisiana,229,190,276,9,6,13,45,36,55,175,139,220,220,182,265
25,Maine,63,52,76,2,2,3,13,10,15,48,38,61,60,50,73
26,Maryland,284,240,336,8,6,12,75,62,89,201,162,250,276,233,326
27,Massachusetts,403,341,475,11,8,16,97,80,116,294,237,364,391,330,463
28,Michigan,457,401,520,18,14,23,107,93,122,332,280,393,439,384,501
29,Minnesota,252,210,301,9,6,12,67,56,80,176,139,223,243,203,291
30,Mississippi,105,88,127,4,3,6,26,21,32,75,59,95,101,84,122
31,Missouri,271,228,321,10,8,14,69,58,83,191,152,240,261,219,310
32,Montana,57,48,67,2,1,3,14,12,17,40,32,50,55,46,65
33,Nebraska,92,77,109,4,3,5,23,19,27,66,52,82,88,74,105
34,Nevada,121,101,146,6,4,8,31,25,37,85,67,108,116,96,140
35,New Hampshire,67,56,80,2,2,3,15,12,18,50,40,62,65,54,78
36,New Jersey,359,304,423,15,11,20,105,89,123,239,189,301,344,290,407
37,New Mexico,107,90,128,4,3,6,26,22,32,77,61,96,103,86,123
38,New York,939,839,"1,051",30,23,38,228,200,259,682,589,788,910,810,"1,021"
39,North Carolina,371,316,434,13,9,18,93,78,111,264,213,327,358,304,420
40,North Dakota,44,38,51,1,1,2,12,10,15,30,25,37,42,36,49
41,Ohio,538,475,607,19,15,24,122,106,139,397,339,464,519,458,587
42,Oklahoma,161,135,191,6,5,9,40,34,48,114,91,143,154,129,184
43,Oregon,231,196,273,8,6,10,45,38,54,178,145,219,223,188,264
44,Pennsylvania,594,525,671,19,15,24,156,136,178,419,355,494,575,507,652
45,Rhode Island,59,50,70,2,1,2,14,12,17,44,35,54,58,49,68
46,South Carolina,214,180,254,8,6,11,51,42,61,155,124,193,206,173,246
47,South Dakota,48,41,57,2,1,2,11,9,13,36,29,44,47,39,55
48,Tennessee,258,218,306,10,7,14,66,55,80,182,146,228,249,209,295
