outcome,age_group,year_pair,geography,estimate,ci_lower,ci_upper
Alcohol Dependence or Abuse in the Past Year,12 or Older,2002-03,Washington,0.07413600000000001,0.062401,0.087872
Alcohol Dependence or Abuse in the Past Year,12 or Older,2003-04,Washington,0.063569,0.052785000000000006,0.076378
Alcohol Dependence or Abuse in the Past Year,12 or Older,2004-05,Washington,0.070129,0.05834299999999999,0.08408500000000001
Alcohol Dependence or Abuse in the Past Year,12 or Older,2005-06,Washington,0.081444,0.068624,0.096411
Alcohol Dependence or Abuse in the Past Year,12 or Older,2006-07,Washington,0.074945,0.06311900000000001,0.088777
Alcohol Dependence or Abuse in the Past Year,12 or Older,2007-08,Washington,0.073371,0.060498,0.088725
Alcohol Dependence or Abuse in the Past Year,12 or Older,2008-09,Washington,0.072062,0.059226,0.087421
Alcohol Dependence or Abuse in the Past Year,12 or Older,2009-10,Washington,0.088627,0.074613,0.104973
Alcohol Dependence or Abuse in the Past Year,12 or Older,2010-11,Washington,0.098846,0.084371,0.11549100000000001
Alcohol Dependence or Abuse in the Past Year,12 or Older,2011-12,Washington,0.102099,0.086991,0.11948800000000001
Alcohol Dependence or Abuse in the Past Year,12 or Older,2012-13,Washington,0.12278499999999999,0.10583800000000002,0.142014
Alcohol Dependence or Abuse in the Past Year,12 or Older,2013-14,Washington,0.127916,0.11031099999999999,0.14786300000000002
Alcohol Dependence or Abuse in the Past Year,12 or Older,2014-15,Washington,0.112167,0.096152,0.130464
